開催日,レース名,距離,年齢制限,一着賞金,地肌,クラス,通時,適性
1974/12/08,阪神3歳S(OP),1600,1:２歳,1500.0,芝,OP,6.OP,2.芝 マイル
1974/12/08,御影特別(500万下),2000,3:３歳以上,670.0,芝,500万,8.2勝,3.芝 中以遠
1974/12/08,4歳以上,1700,3:３歳以上,580.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/12/07,3歳,1700,1:２歳,180.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/12/07,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/07,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/07,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/07,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/07,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/07,4歳以上200万下,2000,3:３歳以上,320.0,芝,200万,9.1勝,3.芝 中以遠
1974/12/07,障害特別(600万下),2710,3:３歳以上,660.0,障,600万,8.2勝,7.障害
1974/12/07,4歳以上500万下,1800,3:３歳以上,460.0,芝,500万,8.2勝,2.芝 マイル
1974/12/07,牝馬特別(700万下),1800,3:３歳以上,670.0,芝,700万,7.3勝,2.芝 マイル
1974/12/07,寒菊賞(200万下),1600,1:２歳,370.0,芝,200万,9.1勝,2.芝 マイル
1974/12/07,4歳以上400万下,1600,3:３歳以上,420.0,芝,400万,8.2勝,2.芝 マイル
1974/12/07,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/07,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/07,3歳200万下,1000,1:２歳,240.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/07,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/07,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/07,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/07,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/07,伊勢特別(500万下),1800,3:３歳以上,670.0,芝,500万,8.2勝,2.芝 マイル
1974/12/07,アラブ3歳特別(100万下),1600,1:２歳,180.0,ダ,100万,9.1勝,5.砂 マイル
1974/12/07,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/07,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/07,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/07,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/07,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/07,4歳以上500万下,1800,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/07,4歳以上未勝利,2600,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/07,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/07,エリカ賞(200万下),1200,1:２歳,370.0,芝,200万,9.1勝,1.芝 短距離
1974/12/07,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/07,短距離特別(700万下),1200,3:３歳以上,670.0,芝,700万,7.3勝,1.芝 短距離
1974/12/07,猪名川特別(400万下),1900,3:３歳以上,600.0,ダ,400万,8.2勝,6.砂 中以遠
1974/12/07,4歳以上400万下,1800,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/12/01,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/01,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/12/01,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/01,4歳以上未勝利,2710,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/01,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/01,4歳以上400万下,1800,3:３歳以上,420.0,芝,400万,8.2勝,2.芝 マイル
1974/12/01,すずかけ賞(200万下),1600,1:２歳,370.0,芝,200万,9.1勝,2.芝 マイル
1974/12/01,4歳以上700万下,1800,3:３歳以上,460.0,芝,700万,7.3勝,2.芝 マイル
1974/12/01,クモハタ記念(OP),1800,3:３歳以上,1400.0,芝,OP,6.OP,2.芝 マイル
1974/12/01,師走特別(500万下),2000,3:３歳以上,670.0,芝,500万,8.2勝,3.芝 中以遠
1974/12/01,4歳以上200万下,1600,3:３歳以上,320.0,芝,200万,9.1勝,2.芝 マイル
1974/12/01,3歳未勝利,1000,1:２歳,100.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/01,3歳,1000,1:２歳,180.0,ダ,NoClass,z.NoClass,4.砂 短距離
1974/12/01,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/01,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/01,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/01,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/01,かえで賞(200万下),1200,1:２歳,370.0,芝,200万,9.1勝,1.芝 短距離
1974/12/01,3歳,1200,1:２歳,360.0,芝,NoClass,z.NoClass,1.芝 短距離
1974/12/01,中京日経賞(700万下),1800,3:３歳以上,670.0,芝,700万,7.3勝,2.芝 マイル
1974/12/01,桑名特別(400万下),1700,3:３歳以上,600.0,芝,400万,8.2勝,2.芝 マイル
1974/12/01,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/01,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/01,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/01,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/12/01,3歳200万下,1200,1:２歳,240.0,ダ,200万,9.1勝,4.砂 短距離
1974/12/01,4歳以上未勝利,2600,3:３歳以上,420.0,障,未勝利,o.未勝利,7.障害
1974/12/01,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/12/01,夙川特別(500万下),1700,3:３歳以上,670.0,ダ,500万,8.2勝,5.砂 マイル
1974/12/01,4歳以上200万下,1800,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/12/01,セントウルS(OP),1600,3:３歳以上,760.0,芝,OP,6.OP,2.芝 マイル
1974/12/01,ディセンバーハンデキ(700万下),2200,3:３歳以上,670.0,芝,700万,7.3勝,3.芝 中以遠
1974/12/01,4歳以上400万下,1800,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/11/30,3歳未勝利,1200,1:２歳,100.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/11/30,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/11/30,3歳未勝利,1200,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/11/30,4歳以上,2710,3:３歳以上,600.0,障,NoClass,z.NoClass,7.障害
1974/11/30,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/11/30,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/11/30,3歳200万下,1200,1:２歳,240.0,芝,200万,9.1勝,1.芝 短距離
1974/11/30,北総特別(400万下),2000,3:３歳以上,600.0,芝,400万,8.2勝,3.芝 中以遠
1974/11/30,4歳以上200万下,1800,3:３歳以上,320.0,芝,200万,9.1勝,2.芝 マイル
1974/11/30,安房特別(800万下),1800,3:３歳以上,720.0,芝,800万,7.3勝,2.芝 マイル
1974/11/30,3歳牝馬S(OP),1600,1:２歳,520.0,芝,OP,6.OP,2.芝 マイル
1974/11/30,4歳以上500万下,1600,3:３歳以上,460.0,芝,500万,8.2勝,2.芝 マイル
1974/11/30,3歳100万下,1000,1:２歳,130.0,ダ,100万,9.1勝,4.砂 短距離
1974/11/30,4歳以上,1700,3:３歳以上,220.0,ダ,NoClass,z.NoClass,5.砂 マイル
1974/11/30,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/11/30,3歳未勝利,1000,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/11/30,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/11/30,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/11/30,4歳以上200万下,1600,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/11/30,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/11/30,伊吹山特別(500万下),1800,3:３歳以上,670.0,芝,500万,8.2勝,2.芝 マイル
1974/11/30,中距離特別(200万下),1700,3:３歳以上,480.0,ダ,200万,9.1勝,5.砂 マイル
1974/11/30,4歳以上,1800,3:３歳以上,580.0,芝,NoClass,z.NoClass,2.芝 マイル
1974/11/30,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/11/30,3歳未勝利,1200,1:２歳,140.0,ダ,未勝利,o.未勝利,4.砂 短距離
1974/11/30,4歳以上,2600,3:３歳以上,600.0,障,NoClass,z.NoClass,7.障害
1974/11/30,4歳以上200万下,1700,3:３歳以上,320.0,ダ,200万,9.1勝,5.砂 マイル
1974/11/30,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/11/30,3歳新馬,1200,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
1974/11/30,シクラメン賞(200万下),1200,1:２歳,370.0,ダ,200万,9.1勝,4.砂 短距離
1974/11/30,4歳以上400万下,1700,3:３歳以上,420.0,ダ,400万,8.2勝,5.砂 マイル
1974/11/30,ウインターC(800万下),1600,3:３歳以上,720.0,芝,800万,7.3勝,2.芝 マイル
1974/11/30,中冬特別(400万下),1800,3:３歳以上,600.0,ダ,400万,8.2勝,5.砂 マイル
1974/11/30,4歳以上500万下,1800,3:３歳以上,460.0,ダ,500万,8.2勝,5.砂 マイル
1974/11/24,3歳勝入100万円以下,1000,1:２歳,150.0,芝,100万,9.1勝,1.芝 短距離
1974/11/24,3歳未勝利,1000,1:２歳,140.0,芝,未勝利,o.未勝利,1.芝 短距離
1974/11/24,3歳新馬,1000,1:２歳,200.0,芝,新馬,o.未勝利,1.芝 短距離
